element,grain_size_um,flow_stress_MPa,plastic_strain,test_method,reference
Cu,174.0,27.0,0.005,TT,85
Cu,43.0,35.0,0.005,TT,85
Cu,16.0,50.0,0.005,TT,85
Cu,6.0,76.0,0.005,TT,85
Cu,3.0,99.0,0.005,TT,85
Cu,8.0,74.0,0.002,TT,73
Cu,0.13,430.0,0.002,TT,73
Cu,0.09,480.0,0.002,TT,73
Cu,223.0,102.0,0.05,TT,71
Cu,121.0,105.0,0.05,TT,71
Cu,110.0,105.0,0.05,TT,71
Cu,100.0,107.0,0.05,TT,71
Cu,90.0,112.0,0.05,TT,71
Cu,93.0,116.0,0.05,TT,71
Cu,72.0,110.0,0.05,TT,71
Cu,50.0,116.0,0.05,TT,71
Cu,49.0,122.0,0.05,TT,71
Cu,36.0,117.0,0.05,TT,71
Cu,34.0,123.0,0.05,TT,71
Cu,32.0,127.0,0.05,TT,71
Cu,27.0,124.0,0.05,TT,71
Cu,24.0,126.0,0.05,TT,71
Cu,20.0,132.0,0.05,TT,71
Cu,20.0,130.0,0.05,TT,71
Cu,18.0,128.0,0.05,TT,71
Cu,17.0,135.0,0.05,TT,71
Cu,15.0,133.0,0.05,TT,71
Cu,14.0,137.0,0.05,TT,71
Cu,12.0,138.0,0.05,TT,71
Cu,55.0,38.0,0.01,TT,70
Cu,40.0,43.0,0.01,TT,70
Cu,21.0,48.0,0.01,TT,70
Cu,16.0,52.0,0.01,TT,70
Cu,10.0,60.0,0.01,TT,70
Cu,0.116,473.0,-,VH,74
Cu,0.045,511.0,-,VH,74
Cu,0.051,667.0,-,VH,74
Cu,0.032,589.0,-,VH,74
Cu,0.035,791.0,-,VH,74
Cu,0.035,782.0,-,VH,74
Cu,0.025,662.0,-,VH,74
Cu,0.026,802.0,-,VH,74
Cu,0.025,774.0,-,VH,74
Cu,0.024,769.0,-,VH,74
Cu,0.022,772.0,-,VH,74
Cu,0.023,758.0,-,VH,74
Cu,0.018,700.0,-,VH,74
Cu,0.018,751.0,-,VH,74
Cu,0.018,767.0,-,VH,74
Cu,0.019,808.0,-,VH,74
Cu,0.02,819.0,-,VH,74
Cu,0.021,890.0,-,VH,74
Cu,0.018,893.0,-,VH,74
Cu,0.017,841.0,-,VH,74
Cu,0.016,848.0,-,VH,74
Cu,0.015,884.0,-,VH,74
Cu,0.016,809.0,-,VH,74
Cu,0.016,815.0,-,VH,74
Cu,0.012,847.0,-,VH,74
Cu,0.011,774.0,-,VH,74
Cu,0.01,789.0,-,VH,74
Cu,0.01,828.0,-,VH,74
Cu,0.007,809.0,-,VH,74
Cu,22.0,213.0,-,VH,75
Cu,0.113,489.0,-,VH,75
Cu,0.048,708.0,-,VH,75
Cu,0.025,827.0,-,VH,75
Cu,0.022,797.0,-,VH,75
Cu,0.016,853.0,-,VH,75
Cu,0.01,1006.0,-,VH,76
Cu,0.042,583.0,-,VH,76
Cu,0.032,645.0,-,VH,76
Cu,0.554,505.0,-,VH,76
Cu,0.335,678.0,-,VH,76
Cu,0.179,735.0,-,VH,76
Cu,0.152,817.0,-,VH,76
Cu,0.031,864.0,-,VH,76
Cu,0.751,186.0,0.002,CT,76
Cu,0.349,227.0,0.002,CT,76
Cu,0.116,311.0,0.002,CT,76
Cu,0.051,461.0,0.002,CT,76
Cu,0.032,592.0,0.002,CT,76
Cu,0.027,629.0,0.002,CT,76
Cu,0.022,683.0,0.002,CT,76
Cu,8.0,65.0,0.002,TT,78
Cu,20.0,52.0,0.002,TT,78
Cu,20.0,46.0,0.002,TT,78
Cu,34.0,43.0,0.002,TT,78
Cu,33.0,47.0,0.002,TT,78
Cu,82.0,39.0,0.002,TT,78
Cu,87.0,37.0,0.002,TT,78
Cu,8.0,61.0,0.002,TT,78
Cu,6.0,70.0,0.002,TT,78
Cu,6.0,74.0,0.002,TT,78
Cu,21.0,212.0,-,VH,86
Cu,18.0,214.0,-,VH,86
Cu,15.0,219.0,-,VH,86
Cu,17.0,222.0,-,VH,86
Cu,13.0,234.0,-,VH,86
Cu,11.0,242.0,-,VH,86
Cu,9.0,243.0,-,VH,86
Cu,8.0,247.0,-,VH,86
Cu,6.0,253.0,-,VH,86
Cu,0.016,732.0,-,VH,86
Cu,0.014,667.0,-,VH,86
Cu,0.009,554.0,-,VH,86
Cu,0.008,483.0,-,VH,86
Cu,36.0,170.0,-,VH,79
Cu,0.049,365.0,-,VH,79
Cu,0.032,545.0,-,VH,79
Cu,0.01,505.0,-,VH,79
Cu,0.015,735.0,-,VH,79
Cu,0.006,826.0,-,VH,79
Cu,0.006,867.0,-,VH,79
Cu,0.005,733.0,-,VH,79
Cu,0.026,720.0,-,VH,80
Cu,0.029,811.0,-,VH,80
Cu,0.013,710.0,-,VH,80
Cu,0.015,770.0,-,VH,80
Cu,0.013,841.0,-,VH,80
Cu,0.01,841.0,-,VH,80
Cu,0.009,866.0,-,VH,80
Cu,0.009,886.0,-,VH,80
Cu,0.008,880.0,-,VH,80
Cu,0.005,857.0,-,VH,80
Cu,0.014,823.0,-,VH,80
Cu,0.014,763.0,-,VH,80
Cu,0.012,752.0,-,VH,80
Cu,0.011,794.0,-,VH,80
Cu,0.01,778.0,-,VH,80
Cu,0.011,881.0,-,VH,80
Cu,0.009,861.0,-,VH,80
Cu,0.007,843.0,-,VH,80
Cu,0.004,838.0,-,VH,80
Cu,0.004,870.0,-,VH,80
Cu,0.026,705.0,-,VH,80
