*Hardness measurements were converted to stress measurements by dividing the hardness by 3					
"**LYS = lower yield stress, no strain given for hardness measurements"					
"***TT = tension test, CT = compression test, NH = nanoindentation, VH = Vickers hardness, MDBT = miniaturized disk bend test"					
					
					
element	grain size (µm)	flow stress (MPa)*	plastic strain**	test method***	reference
Ta	0.29	765	-	VH	33
Ta	0.26	721	-	VH	33
Ta	0.25	708	-	VH	33
Ta	0.22	719	-	VH	33
Ta	0.076	3867	-	NH	35
Ta	0.043	3592	-	NH	30
Ta	0.031	4134	-	NH	30
Ta	0.036	5197	-	NH	30
Ta	0.036	4287	-	NH	36
Ta	0.047	3847	-	NH	37
Ta	0.038	4056	-	NH	37
Cu	240	29	0.002	TT	72
Cu	320	30	0.002	TT	72
Cu	50	33	0.002	TT	72
Cu	50	34	0.002	TT	72
Cu	57	32	0.002	TT	72
Cu	39	32	0.002	TT	72
Cu	46	38	0.002	TT	72
Cu	26	51	0.002	TT	72
Cu	30	38	0.002	TT	72
Cu	32	38	0.002	TT	72
Cu	33	38	0.002	TT	72
Cu	32	41	0.002	TT	72
Cu	174	27	0.005	TT	85
Cu	43	35	0.005	TT	85
Cu	16	50	0.005	TT	85
Cu	6	76	0.005	TT	85
Cu	3	99	0.005	TT	85
Cu	8	74	0.002	TT	73
Cu	0.13	430	0.002	TT	73
Cu	0.09	480	0.002	TT	73
Cu	223	102	0.05	TT	71
Cu	121	105	0.05	TT	71
Cu	110	105	0.05	TT	71
Cu	100	107	0.05	TT	71
Cu	90	112	0.05	TT	71
Cu	93	116	0.05	TT	71
Cu	72	110	0.05	TT	71
Cu	50	116	0.05	TT	71
Cu	49	122	0.05	TT	71
Cu	36	117	0.05	TT	71
Cu	34	123	0.05	TT	71
Cu	32	127	0.05	TT	71
Cu	27	124	0.05	TT	71
Cu	24	126	0.05	TT	71
Cu	20	132	0.05	TT	71
Cu	20	130	0.05	TT	71
Cu	18	128	0.05	TT	71
Cu	17	135	0.05	TT	71
Cu	15	133	0.05	TT	71
Cu	14	137	0.05	TT	71
Cu	12	138	0.05	TT	71
Cu	55	38	0.01	TT	70
Cu	40	43	0.01	TT	70
Cu	21	48	0.01	TT	70
Cu	16	52	0.01	TT	70
Cu	10	60	0.01	TT	70
Cu	0.116	473	-	VH	74
Cu	0.045	511	-	VH	74
Cu	0.051	667	-	VH	74
Cu	0.032	589	-	VH	74
Cu	0.035	791	-	VH	74
Cu	0.035	782	-	VH	74
Cu	0.025	662	-	VH	74
Cu	0.026	802	-	VH	74
Cu	0.025	774	-	VH	74
Cu	0.024	769	-	VH	74
Cu	0.022	772	-	VH	74
Cu	0.023	758	-	VH	74
Cu	0.018	700	-	VH	74
Cu	0.018	751	-	VH	74
Cu	0.018	767	-	VH	74
Cu	0.019	808	-	VH	74
Cu	0.02	819	-	VH	74
Cu	0.021	890	-	VH	74
Cu	0.018	893	-	VH	74
Cu	0.017	841	-	VH	74
